,device_id,gender,age,group,phone_brand,device_model
0,-8076087639492063270,M,35,M32-38,小米,MI 2
1,-2897161552818060146,M,35,M32-38,小米,MI 2
2,-8260683887967679142,M,35,M32-38,小米,MI 2
3,-4938849341048082022,M,30,M29-31,小米,红米note
4,245133531816851882,M,30,M29-31,小米,MI 3
5,-1297074871525174196,F,24,F24-26,OPPO,R1C
6,236877999787307864,M,36,M32-38,酷派,F2
7,-8098239495777311881,M,38,M32-38,小米,红米note
8,176515041953473526,M,33,M32-38,vivo,X3T
9,1596610250680140042,F,36,F33-42,三星,Galaxy S4
10,9032155484127182494,M,31,M29-31,华为,Mate 7
11,7477216237379271436,F,37,F33-42,华为,荣耀6 plus
12,2478205222798310601,F,28,F27-28,三星,Galaxy Note 3
13,6352067998666467520,M,32,M32-38,华为,荣耀畅玩4X
14,-7605360767281960867,M,48,M39+,艾优尼,U3
15,1508636020748379883,F,28,F27-28,华为,荣耀畅玩4X
16,4380872794486415327,M,38,M32-38,小米,MI 4
17,-1039701474753771322,M,38,M32-38,小米,MI 4
18,-6876541075223249434,M,75,M39+,魅族,魅蓝NOTE
19,6287938418661076759,M,33,M32-38,小米,MI 3
20,-6029676723224952628,F,39,F33-42,三星,Galaxy S6
21,8026504930081700361,M,25,M23-26,小米,MI 4
22,1118970699362079126,M,24,M23-26,华为,荣耀3C
23,-7271319853104672050,M,27,M27-28,三星,Galaxy Note 3
24,-9216966316587614491,M,29,M29-31,小米,MI 4
25,-4913644674161904021,M,34,M32-38,三星,Galaxy Note 2
26,2313145512701915151,M,34,M32-38,三星,Galaxy Note 2
27,4309468945717577632,F,36,F33-42,三星,Galaxy Note 3
28,-4547337748907986143,M,37,M32-38,三星,Galaxy Mega 6.3
29,-7216269352973401877,M,37,M32-38,三星,Galaxy Mega 6.3
30,-7303294878482532208,M,33,M32-38,华为,荣耀畅玩4
31,7630241409816671260,M,35,M32-38,vivo,Xplay
32,7106922851105968241,M,22,M22-,小米,红米note
33,-5825546292084395293,M,31,M29-31,小米,红米1S
34,5886404762741543631,M,37,M32-38,小米,MI 3
35,3444770318780911055,M,36,M32-38,小米,MI 4
36,3549658489155683094,M,26,M23-26,OPPO,R827T
37,-7360652256644378412,M,38,M32-38,小米,MI 2A
38,-3207654344601946580,M,38,M32-38,小米,MI 2A
39,-1279883160764317574,M,31,M29-31,努比亚,Z5S Mini
40,3014072209520807550,M,28,M27-28,魅族,MX4
41,-2871140782885206484,M,22,M22-,魅族,MX4
42,-5070177130701218827,M,31,M29-31,酷派,大神X7
43,-1539979963116391306,M,31,M29-31,三星,Galaxy Note 2
44,-5349338524207284103,M,27,M27-28,三星,Galaxy S2
45,-147287084274333707,M,27,M27-28,三星,Galaxy S2
46,-5712152567169524766,M,27,M27-28,三星,Galaxy S2
47,-3305321723886863103,M,27,M27-28,三星,Galaxy S2
48,-800851341622326751,F,27,F27-28,优米,3
49,6870382681059864892,M,29,M29-31,华为,G620-L75
50,-1173303210238773591,F,34,F33-42,HTC,Butterfly
51,6677393742805480020,M,31,M29-31,酷派,大神F2
52,1865480732945072123,M,31,M29-31,酷派,F2
53,336916678843446187,F,36,F33-42,三星,Galaxy S3
54,670584488453511085,F,36,F33-42,三星,Galaxy S3
55,5874501925603975585,M,38,M32-38,华为,G510
56,-7058264257379185672,M,38,M32-38,华为,G510
57,-7731743086143077949,M,35,M32-38,小米,MI 3
58,-1457089681368225820,M,47,M39+,金立,GN810
59,3098621662950438701,M,31,M29-31,vivo,X5Max
60,-3563791052716940236,M,25,M23-26,小米,MI 2S
61,-5348866880284858420,M,25,M23-26,小米,MI 2S
62,-4180524547237520433,M,36,M32-38,三星,Galaxy Note 3
63,-8428853393823283356,M,28,M27-28,华为,Ascend P8
64,-6290480893520011063,M,44,M39+,小米,MI 4
65,6223951438363242934,M,28,M27-28,三星,Galaxy Mega 5.8
66,-4370696809239943432,M,36,M32-38,联想,Vibe Z2 Pro
67,-6083834394280548453,F,27,F27-28,小米,MI 3
